total,limit,start,data
471,700,0,"{'parkCode': 'abli', 'isFeeFreePark': True, 'isInteragencyPassAccepted': False, 'cashless': 'No', 'feesAtWorkUrl': '', 'entranceFeeDescription': 'Abraham Lincoln Birthplace National Historical Park is free, and has no associated fees.', 'entrancePassDescription': 'Abraham Lincoln Birthplace National Historical Park is free, and does not require an entrance pass.', 'isParkingFeePossible': False, 'parkingDetailsUrl': '', 'fees': [], 'passes': []}"
471,700,0,"{'parkCode': 'acad', 'isFeeFreePark': False, 'isInteragencyPassAccepted': True, 'cashless': 'Depends on Location', 'feesAtWorkUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm', 'entranceFeeDescription': 'A park entrance pass is required year-round at Acadia National Park. All vehicles must display a pass clearly visible through the windshield. Display federal lands passes, such as annual and military passes, on your dashboard with the signature and expiration date facing up. Passes are non-transferable and passholder must be present. A separate vehicle reservation is also required to drive Cadillac Summit Road from mid-May into October. Vehicle reservations are only sold online in advance and are not available for purchase at the park. In addition to NPS locations in visitor centers and campgrounds, entrance passes are also available for purchase in-person at third-party sellers. These locations are not operated by the NPS and do not offer federal lands passes -- * Jordan Pond Gift Shop * Acadia Regional Chamber of Commerce at Thompson Island * Bar Harbor Chamber of Commerce, Cottage Street * Ellsworth Chamber of Commerce * Mount Desert Chamber of Commerce * Southwest Harbor/Tremont Chamber of Commerce', 'entrancePassDescription': 'A park entrance pass is required year-round. All vehicles must display a pass clearly visible through the windshield. Display federal lands passes, such as annual and military passes, on your dashboard with the signature and expiration date facing up. Passes are non-transferable and passholder must be present.', 'isParkingFeePossible': False, 'parkingDetailsUrl': '', 'fees': [{'entranceFeeType': 'Timed Entry Reservation - Location', 'startDate': {'month': 5, 'holiday': None, 'day': 24}, 'paymentDescription': 'Vehicle reservations cost $6. They are only sold online in advance at Recreation.gov. They are not available for purchase at the park. In addition to purchasing a vehicle reservation for Cadillac Summit Road, vehicles must display a park entrance pass through the windshield. Park entrance passes are available at the park or online at Recreation.gov. Print or save a digital copy of the QR Code that comes with the vehicle reservation confirmation email. It will be scanned to verify the reservation.', 'recGovPurchaseUrl': 'https://www.recreation.gov/timed-entry/400000', 'timedEntryLocation': 'Cadillac Summit Road Vehicle Reservations', 'endDate': {'month': 10, 'holiday': None, 'day': 22}, 'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '6.00', 'timedEntryShortDescription': 'Required to drive Cadillac Summit Road', 'description': 'Vehicle reservations are not required for any other areas of the park, or for visitors who enter the area by foot, bike, or taxi. Vehicle reservations provide a timed entry, but do not require a departure time until 10 pm, when the road closes to vehicles. Reservations do not permit re-entry. Reservations are per vehicle, not per person. Reservations do not assign a specific parking space. Parking is prohibited outside of designated spaces. Cadillac is not served by the Island Explorer bus system.', 'informationUrl': 'https://www.nps.gov/acad/planyourvisit/vehicle_reservations.htm', 'id': 'B0ACE361-8899-4098-A238-18BA39FD67C2', 'npsGovPurchaseUrl': ''}, {'entranceFeeType': 'Entrance - Private Vehicle', 'startDate': {'month': 1, 'holiday': None, 'day': 1}, 'paymentDescription': 'Credit/debit card preferred.\n\nThree types of weekly passes (Vehicle, Motorcycle, Individual) may be purchased by credit card from automated fee machines available year-round 24 hours a day --\n* One is located at a pavilion in the parking lot the Hulls Cove Visitor Center.\n* Another is available inside a gatehouse at the entrance to the Schoodic Institute on the Schoodic Peninsula.', 'recGovPurchaseUrl': 'https://www.recreation.gov/sitepass/74271', 'timedEntryLocation': '', 'endDate': {'month': 12, 'holiday': None, 'day': 31}, 'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '35.00', 'timedEntryShortDescription': '', 'description': 'Valid for seven days. Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants. This includes rental cars, RVs, and vans with fewer than 16 passengers. If the vehicle pass is purchased, no other pass is necessary.', 'informationUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm', 'id': '94E30640-D3B6-40D4-9949-07C63CFE636C', 'npsGovPurchaseUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm'}, {'entranceFeeType': 'Entrance - Motorcycle', 'startDate': {'month': 1, 'holiday': None, 'day': 1}, 'paymentDescription': 'Credit/debit card preferred.\n\nThree types of weekly passes (Vehicle, Motorcycle, Individual) may be purchased by credit card from automated fee machines available year-round 24 hours a day --\n* One is located at a pavilion in the parking lot the Hulls Cove Visitor Center.\n* Another is available inside a gatehouse at the entrance to the Schoodic Institute on the Schoodic Peninsula.', 'recGovPurchaseUrl': 'https://www.recreation.gov/sitepass/74271', 'timedEntryLocation': '', 'endDate': {'month': 12, 'holiday': None, 'day': 31}, 'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '30.00', 'timedEntryShortDescription': '', 'description': 'Valid for seven days. Admits one or two passengers on a private, non-commercial motorcycle.', 'informationUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm', 'id': 'A6D7D0BD-5064-4018-ACA6-471AAC4B8301', 'npsGovPurchaseUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm'}, {'entranceFeeType': 'Entrance - Per Person', 'startDate': {'month': 1, 'holiday': None, 'day': 1}, 'paymentDescription': 'Credit/debit card preferred.\n\nThree types of weekly passes (Vehicle, Motorcycle, Individual) may be purchased by credit card from automated fee machines available year-round 24 hours a day --\n* One is located at a pavilion in the parking lot the Hulls Cove Visitor Center.\n* Another is available inside a gatehouse at the entrance to the Schoodic Institute on the Schoodic Peninsula.', 'recGovPurchaseUrl': 'https://www.recreation.gov/sitepass/74271', 'timedEntryLocation': '', 'endDate': {'month': 12, 'holiday': None, 'day': 31}, 'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '20.00', 'timedEntryShortDescription': '', 'description': 'Valid for seven days. Admits one individual with no car (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge.', 'informationUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm', 'id': 'CE8B4FBB-3410-49D1-97DF-B4F019CDD058', 'npsGovPurchaseUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm'}, {'entranceFeeType': 'Entrance - Education/Academic Groups', 'startDate': {'month': 1, 'holiday': None, 'day': 1}, 'paymentDescription': '', 'recGovPurchaseUrl': '', 'timedEntryLocation': '', 'endDate': {'month': 12, 'holiday': None, 'day': 31}, 'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '0.00', 'timedEntryShortDescription': '', 'description': 'School groups and other academic institutions may qualify for an Educational Fee Waiver. If not qualified, please check fees for large or commercial groups.', 'informationUrl': 'https://www.nps.gov/acad/planyourvisit/feewaivers.htm', 'id': 'BBA5FD20-F7E2-4185-84E9-CECEAB42C43B', 'npsGovPurchaseUrl': ''}, {'entranceFeeType': 'Entrance - Non-commercial Groups', 'startDate': {'month': 1, 'holiday': None, 'day': 1}, 'paymentDescription': '', 'recGovPurchaseUrl': '', 'timedEntryLocation': '', 'endDate': {'month': 12, 'holiday': None, 'day': 31}, 'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '0.00', 'timedEntryShortDescription': '', 'description': 'Groups entering Acadia by bus, van, or other high-capacity vehicles (16 people or more) must pay an organized group entrance fee.\n\nAdults (16 years old and over): $20/per person\nYouth (15 years old and under): Free', 'informationUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm', 'id': '8B5FB8A4-46C0-43A1-BCEF-3D8D35E1A89F', 'npsGovPurchaseUrl': ''}, {'entranceFeeType': 'Commercial Entrance - Per Person', 'startDate': {'month': 1, 'holiday': None, 'day': 1}, 'paymentDescription': '', 'recGovPurchaseUrl': '', 'timedEntryLocation': '', 'endDate': {'month': 12, 'holiday': None, 'day': 31}, 'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '0.00', 'timedEntryShortDescription': '', 'description': 'Are you operating a business that provides leisure or recreational services while in the park? If so, it is considered a commercial group and you are required to have a Commercial Use Authorization.\n\nA commercial group is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provisions of the service. Learn more on our ""Do Business With Us"" page.', 'informationUrl': 'https://www.nps.gov/acad/getinvolved/dobusinesswithus.htm', 'id': '46D75731-D4BF-45DE-88FC-54C93ADBB9AB', 'npsGovPurchaseUrl': ''}], 'passes': [{'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '70.00', 'image': [{'credit': 'Test Credit', 'title': 'Test Image', 'altText': 'Test Image', 'caption': 'Testing', 'url': 'https://www.nps.gov/common/uploads/entrance_pass/D6D2EEDD-C4CD-4139-021C101891BD86AB.jpg'}], 'description': 'The Acadia Annual Pass is valid only at Acadia and may be purchased online or in person. You do not need an additional entrance pass if you already have a federal lands pass. It is valid for 12 months from purchase month. This pass admits the pass holder and passengers in a non-commercial vehicle.\n\nIn addition to park visitor centers and campgrounds, the Acadia Annual Pass is available at the Acadia Regional Chamber at Thompson Island, and at Bar Harbor, Ellsworth and Southwest Harbor chambers of commerce.', 'paymentDescription': '', 'category': 'Annual Entrance - Park', 'informationUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm', 'recGovPurchaseUrl': 'https://www.recreation.gov/sitepass/74271', 'id': 'F647C604-6000-4454-A9FB-6147436E8A7C', 'npsGovPurchaseUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm'}]}"
471,700,0,"{'parkCode': 'adam', 'isFeeFreePark': False, 'isInteragencyPassAccepted': True, 'cashless': 'Yes', 'feesAtWorkUrl': 'https://www.nps.gov/adam/learn/management/yourdollarsatwork.htm', 'entranceFeeDescription': 'Entrance into the historic homes at Adams National Historical Park is by guided tour only. Guided tours cost $15/person. Children under the age of 16 are free. Individuals with an America the Beautiful Interagency Pass can take the guided tour for free. Tour tickets are available in advance on Recreation.gov at https://www.recreation.gov/ticket/facility/300003', 'entrancePassDescription': 'Adams National Historical Park has a digital annual pass available for purchase on Recreation.gov. This pass is good for 12 months following the purchase of the pass. Tickets are still required to enter the park, but the digital annual pass will ensure the passholder free entry into the park. The pass costs $45.', 'isParkingFeePossible': False, 'parkingDetailsUrl': '', 'fees': [{'entranceFeeType': 'Timed Entry Reservation - Location', 'startDate': {'month': 6, 'holiday': None, 'day': 1}, 'paymentDescription': ""Tickets can be purchased in advance on our Recreation.gov website.  Individuals with America the Beautiful passes and children can get their free tickets on Recreation.gov with a non-refundable $1 processing fee.  All ticket and pass sales on site are credit card only.  The park's Eastern National store accepts both cash and credit card payments."", 'recGovPurchaseUrl': 'https://www.recreation.gov/ticket/facility/300003', 'timedEntryLocation': '', 'endDate': {'month': 10, 'holiday': None, 'day': 31}, 'exceptions': 'Adams National Historical Park observes two fee free days: August 4 (Great American Outdoors Day) and September 23 (National Public Lands Day).  Tickets are only available on a first come, first served basis at the Visitor Center on those days.', 'payGovPurchaseUrl': '', 'cost': '15.00', 'timedEntryShortDescription': '', 'description': ""Access into the historic homes is by a ticketed, timed tour.  Every individual in your party must have a ticket.  It is strongly recommended that tickets be purchased in advance on Adams National Historical Park's Recreation.gov page."", 'informationUrl': 'https://www.nps.gov/adam/planyourvisit/index.htm', 'id': '3731EBA3-EF53-403B-8C27-F02EBA8D5CEB', 'npsGovPurchaseUrl': ''}], 'passes': [{'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '45.00', 'image': [{'credit': 'NPS Photo', 'title': 'Old House and Peace Field Garden', 'altText': 'A gray, stone pathway, leads to the Stone Library and Old House', 'caption': 'A gray, stone pathway, leads to the Stone Library and Old House', 'url': 'https://www.nps.gov/common/uploads/entrance_pass/8483234E-CF96-868E-214766695ABBE23A.jpg'}], 'description': 'Adams National Historical Park has a digital annual pass available for purchase on Recreation.gov.  This pass is good for 12 months following the purchase of the pass.  Tickets are still required to enter the park, but the digital annual pass will ensure the passholder free entry into the park.  The pass costs $45.', 'paymentDescription': '', 'category': 'Annual Entrance - Park', 'informationUrl': '', 'recGovPurchaseUrl': '', 'id': 'DF9A61D1-3D4D-4C16-BDA4-6CEEBCDCD50C', 'npsGovPurchaseUrl': ''}]}"
471,700,0,"{'parkCode': 'afam', 'isFeeFreePark': True, 'isInteragencyPassAccepted': False, 'cashless': 'Depends on Location', 'feesAtWorkUrl': '', 'entranceFeeDescription': '', 'entrancePassDescription': '', 'isParkingFeePossible': True, 'parkingDetailsUrl': 'https://www.nps.gov/nama/planyourvisit/parking.htm', 'fees': [], 'passes': []}"
471,700,0,"{'parkCode': 'afbg', 'isFeeFreePark': True, 'isInteragencyPassAccepted': False, 'cashless': '', 'feesAtWorkUrl': '', 'entranceFeeDescription': '', 'entrancePassDescription': '', 'isParkingFeePossible': False, 'parkingDetailsUrl': '', 'fees': [], 'passes': []}"
471,700,0,"{'parkCode': 'agfo', 'isFeeFreePark': True, 'isInteragencyPassAccepted': False, 'cashless': '', 'feesAtWorkUrl': '', 'entranceFeeDescription': '', 'entrancePassDescription': '', 'isParkingFeePossible': False, 'parkingDetailsUrl': '', 'fees': [], 'passes': []}"
471,700,0,"{'parkCode': 'alag', 'isFeeFreePark': True, 'isInteragencyPassAccepted': False, 'cashless': '', 'feesAtWorkUrl': '', 'entranceFeeDescription': '', 'entrancePassDescription': '', 'isParkingFeePossible': False, 'parkingDetailsUrl': '', 'fees': [], 'passes': []}"
471,700,0,"{'parkCode': 'alca', 'isFeeFreePark': True, 'isInteragencyPassAccepted': False, 'cashless': 'No', 'feesAtWorkUrl': '', 'entranceFeeDescription': '', 'entrancePassDescription': '', 'isParkingFeePossible': True, 'parkingDetailsUrl': 'https://www.alcatrazcitycruises.com', 'fees': [], 'passes': []}"
471,700,0,"{'parkCode': 'aleu', 'isFeeFreePark': True, 'isInteragencyPassAccepted': False, 'cashless': '', 'feesAtWorkUrl': '', 'entranceFeeDescription': 'This unit is on private land owned by the Ounalashka Corporation. To visit the historic area, you need to purchase a permit. Visitors can purchase these permits by calling the corporation at (907) 581-1276, or by visiting the corporation Monday - Friday at 400 Salmon Way. Permits can also be purchased at the visitor center. The cost for a permit is as follows: Type of permit Daily $6 (individual) $10 (family) Weekly $15 (individual) $20 (family) Annual $60 (individual) $80 (family) Visitor passes for the World War II Visitor Center are free to veterans, $2 for active military and seniors over age 55 and $5 for all others.', 'entrancePassDescription': '', 'isParkingFeePossible': False, 'parkingDetailsUrl': '', 'fees': [], 'passes': []}"
471,700,0,"{'parkCode': 'alfl', 'isFeeFreePark': True, 'isInteragencyPassAccepted': False, 'cashless': 'No', 'feesAtWorkUrl': '', 'entranceFeeDescription': '', 'entrancePassDescription': '', 'isParkingFeePossible': False, 'parkingDetailsUrl': '', 'fees': [], 'passes': []}"
